,2a,2b,2c,3a,3b,3c,4a,4b,5a,5b,5c,7a,7b,7c
K12447,64,112,146,177,101,141,72,74,50,66,63,26,48,51
K09667,31,53,79,67,39,70,31,49,20,28,46,20,19,22
K01057,10,15,10,5,6,6,12,16,12,5,12,5,4,16
K03231,1469,2236,3555,2267,1536,2506,10836,10276,3085,3455,5373,4269,4299,4908
K09562,56,56,84,54,33,78,185,208,29,31,54,168,126,195
K10361,0,0,4,2,0,4,1,3,0,0,0,8,2,2
K01555,103,96,201,90,56,153,55,39,36,40,25,173,174,166
K01081,20,45,38,39,30,46,32,56,39,33,14,37,28,38
K14721,11,12,11,8,12,2,7,19,3,5,2,4,3,4
K03574,7,7,0,4,3,2,2,3,0,3,0,1,0,0
K22503,14,14,15,41,15,19,42,24,11,7,11,16,3,5
K00111,11,11,4,17,12,19,11,9,11,8,11,6,5,3
K20123,55,85,63,93,48,77,37,22,46,27,45,4,6,22
K04437,0,0,0,6,1,4,6,7,0,6,5,1,0,2
K06617,121,120,167,87,62,182,105,80,38,58,48,58,53,71
K03715,100,110,218,120,98,193,78,87,99,51,134,37,29,47
K02924,7,27,38,54,23,29,107,131,48,44,76,18,25,17
K06027,21,87,114,90,60,105,74,68,50,69,43,38,29,44
K17800,17,21,17,14,10,19,15,13,20,9,10,11,15,6
K09125,0,3,2,1,2,3,0,6,2,0,6,1,0,0
K01953,49,161,221,411,259,278,545,407,233,334,405,144,133,257
K24512,25,61,71,36,17,41,47,23,18,36,41,9,6,27
K04646,73,149,199,161,97,120,157,124,69,77,102,90,69,73
K24763,20,20,17,24,16,32,38,30,9,18,35,12,9,8
K11594,7,20,24,63,30,31,103,65,42,44,58,31,32,24
K11599,25,84,88,140,78,106,78,63,32,47,51,27,29,33
K04945,6,11,7,7,1,5,7,3,3,3,4,0,0,1
K03797,6,27,21,37,27,25,69,52,28,28,55,28,29,35
K19750,28,33,58,43,56,78,75,65,29,35,36,13,24,26
K14324,0,13,21,11,3,9,19,17,8,7,12,5,3,5
K10779,49,70,63,85,62,97,78,65,42,27,65,49,38,46
K23955,0,2,3,3,4,2,3,0,7,2,5,1,2,1
K06949,0,17,17,9,6,16,11,20,6,4,14,2,2,4
K01674,12,28,33,31,14,27,42,25,15,13,38,4,1,9
K22210,0,0,2,7,5,2,12,4,3,3,3,0,0,2
K08714,9,16,9,11,12,14,14,22,11,7,10,4,10,9
K16543,0,4,0,0,0,2,0,1,1,1,1,0,0,0
K05850,102,173,187,196,118,194,342,297,112,140,193,134,105,184
K10747,7,11,31,9,1,11,21,17,7,10,4,16,1,12
K12602,21,9,7,10,7,9,7,6,11,0,9,7,7,4
K03327,0,3,12,1,1,8,15,4,3,7,6,3,3,0
K08653,4,1,8,5,3,10,9,4,4,2,2,2,1,4
K03841,63,122,203,148,91,196,270,224,94,141,168,183,187,191
K21993,21,26,34,43,20,52,20,22,3,14,22,11,9,13
K12042,0,4,2,0,0,0,0,0,0,0,0,0,0,0
K12823,10,28,34,26,20,52,75,41,21,30,22,23,8,16
K10392,1,3,7,4,1,1,1,5,0,0,2,0,3,0
K08681,7,25,34,35,26,51,80,67,25,34,51,15,10,20
K25730,4,0,0,3,0,0,5,0,1,2,0,0,0,2
K10843,463,400,606,550,318,572,333,342,354,205,325,126,141,235
K25608,0,1,0,1,0,0,1,2,1,0,0,0,0,1
K15777,0,6,2,2,0,1,2,1,0,2,1,0,1,1
K14856,0,3,5,7,1,2,24,19,8,1,9,4,7,4
K01689,547,645,1380,1140,691,1085,589,498,244,332,437,376,406,464
K14411,8,14,12,19,10,7,15,5,9,9,10,4,3,2
K10406,11,65,97,73,40,78,99,83,41,40,57,22,28,39
K15292,10,27,44,35,29,33,40,43,14,17,35,6,15,13
K01869,108,83,117,82,88,99,169,133,64,58,57,68,39,76
K08056,25,36,64,52,27,43,53,74,41,36,52,29,28,41
K04843,6,8,19,40,12,16,54,50,22,12,17,10,8,34
K12501,0,1,0,0,0,0,0,7,0,0,0,0,0,0
K16582,0,7,5,7,3,1,21,11,13,10,15,4,4,4
K19753,12,22,25,26,18,25,49,32,18,14,26,4,15,17
K06125,0,0,0,8,0,1,0,0,0,0,1,0,0,1
K25451,0,0,4,4,0,2,3,4,3,2,9,0,0,0
K00006,10,14,18,33,21,26,26,13,14,13,19,12,16,8
K12818,24,13,32,22,24,35,45,48,23,26,51,23,16,9
K19752,0,2,6,0,2,8,10,3,1,5,5,0,0,1
K19882,117,152,241,212,186,258,262,263,139,148,240,92,92,104
K00130,15,2,1,1,2,1,2,2,1,3,1,1,0,5
K04977,5,26,30,38,27,37,46,27,39,26,30,27,11,30
K03353,0,16,26,16,10,10,18,17,8,15,10,2,9,7
K10683,23,3,6,6,11,7,3,3,4,5,5,4,7,9
K16302,13,32,39,34,21,41,45,20,16,11,29,7,9,4
K01079,26,24,20,42,25,23,71,42,18,28,35,26,14,19
K02208,12,8,18,14,5,9,21,15,9,9,11,6,6,10
K06177,0,4,7,0,3,1,2,1,5,0,2,0,1,2
K16604,0,12,22,12,5,14,9,13,7,2,11,1,7,4
K04532,6,19,20,14,8,12,20,25,5,4,8,12,3,15
K09553,119,116,163,122,60,201,110,89,33,49,63,54,52,63
K10716,3,9,11,9,4,12,5,3,5,4,3,3,0,3
K09651,0,12,14,14,4,20,4,4,13,6,7,7,2,6
K13210,19,23,34,51,24,41,79,60,23,21,33,9,17,16
K27706,14,35,36,35,38,33,98,80,13,24,34,16,17,21
K11446,32,22,22,23,26,30,19,25,20,10,25,12,9,11
K00832,49,70,116,111,52,93,113,94,48,52,75,22,22,19
K08832,47,44,47,50,35,61,187,145,57,60,101,34,38,63
K03262,8,59,70,63,30,43,118,80,61,68,76,40,36,65
K00234,25,29,37,46,22,42,41,29,29,28,43,27,26,30
K02355,10,56,51,66,36,40,230,174,52,71,59,142,143,214
K09941,11,38,36,22,26,23,11,8,6,6,11,5,0,5
K05542,6,6,6,11,4,14,15,31,19,4,19,10,14,15
K17261,10,35,26,26,28,30,54,28,22,18,28,11,14,24
K13800,6,12,17,35,19,19,39,35,15,1,50,6,9,15
K10753,2,8,2,1,4,8,4,3,1,1,3,1,1,2
K03237,8,49,54,57,24,43,131,117,42,43,57,28,38,39
K26419,1,12,9,22,23,8,27,30,20,11,22,5,10,12
K01895,37,50,118,141,65,122,74,77,44,60,87,25,34,48
