,2a,2b,2c,3a,3b,3c,4a,4b,5a,5b,5c,7a,7b,7c
K25633,1067,1612,2129,2707,2284,2263,5815,4998,2386,2736,3972,1609,2385,3107
K17302,1499,1478,2334,2053,1968,2708,3133,3049,1668,1564,2691,2330,2456,3789
K00981,801,1010,1344,1674,1281,1662,2129,1933,926,992,1884,1433,1503,2140
K12492,100,137,179,247,236,218,520,521,223,284,448,249,322,399
K00987,243,345,436,509,401,527,671,650,338,334,566,311,310,455
K03020,386,629,841,736,567,871,504,519,223,285,380,243,264,361
K02976,4550,7222,8912,10703,7423,10212,15927,14830,6127,6855,12351,7105,7667,10265
K14857,2752,2865,4277,4423,4160,5775,8466,7917,4870,4076,7803,4848,4980,8554
K10636,43,49,65,59,54,70,133,103,53,50,98,46,44,90
K14802,1633,1635,2566,3961,3430,5436,12149,11746,6935,5114,9022,8626,8324,15794
K03514,1263,2237,2683,3601,2515,3525,5102,4676,2301,2262,4232,2708,2416,3772
K14685,20,56,76,105,106,97,147,113,93,61,127,69,29,117
K02318,22,43,67,50,74,92,113,136,120,76,121,78,44,139
K14292,69,59,84,58,92,112,172,148,130,97,166,88,82,235
K09515,107,145,203,149,165,176,270,267,101,117,171,200,196,308
K11996,94,112,143,132,171,162,272,228,190,138,258,150,109,292
K08735,312,333,479,557,574,671,704,656,398,360,560,265,199,425
K06631,5548,7042,9908,11850,9209,13013,17855,17304,8882,8743,14963,11248,10590,16667
K19683,8629,10245,13146,15657,11912,17739,23501,22394,10694,10361,20242,12449,12454,19186
K14809,278,454,640,663,497,718,1088,1053,477,468,792,700,609,978
K11664,303,360,512,652,513,679,1300,1197,502,499,916,419,596,850
K23978,87,85,157,178,204,184,349,284,193,176,306,177,117,357
K01726,1332,1689,2269,2824,2468,3031,4148,4026,1878,2104,3392,1837,2044,3236
K06641,13709,14436,20692,23954,17470,23740,41543,39141,15340,14962,28608,26305,27833,38774
K12350,76,94,72,100,115,143,257,224,172,113,246,146,113,259
K17199,61,54,48,140,106,131,347,264,96,129,205,93,84,168
K12349,886,1055,1281,1252,1242,1647,2431,2217,1107,1152,2036,1703,1787,2695
K25473,2913,3161,4578,5044,4314,5583,8921,8417,3807,3848,7123,5032,5089,8159
K06695,998,1225,1576,1986,1729,1938,3869,3098,1509,1744,2807,1590,1626,2852
K01597,1233,1513,2067,2641,2363,3016,5141,5030,2071,1969,3558,2562,2604,4469
K08957,179,329,395,524,394,545,988,967,409,429,787,623,561,722
K00889,1796,2150,3121,3378,2762,3742,5883,5659,2595,2567,4686,3369,3209,5579
K06067,351,386,522,610,520,716,958,849,512,432,724,476,408,677
K09578,478,782,908,916,606,816,1123,1097,516,577,915,339,337,582
K06173,284,296,428,360,289,470,445,417,207,220,352,176,153,292
K11252,5536,7564,8946,14969,11006,13143,22122,20748,8144,9036,19027,10125,9641,14094
K14775,1624,1830,2652,2879,2624,3200,5201,4804,2162,2347,4147,2286,2419,3975
K01613,420,378,522,1000,737,766,1786,1643,934,914,1309,435,591,936
K22068,622,1418,1941,2188,1844,2226,6226,4947,2747,3356,3622,2209,2450,3507
