,SM_100uE_Dark_A,SM_100uE_Dark_B,SM_100uE_Dark_C,SM_100uE_Light_A,SM_100uE_Light_B,SM_100uE_Light_C,SM_10uE_Dark_A,SM_10uE_Dark_B,SM_10uE_Dark_C,SM_10uE_Light_A,SM_10uE_Light_B,SM_10uE_Light_C
K18597,169,305,949,481,1067,1174,461,802,234,1071,460,494
K07942,35,133,168,156,256,395,336,122,49,326,102,66
K03134,28,78,176,62,146,167,148,140,37,154,66,88
K10706,38,68,254,174,382,435,124,225,76,290,130,134
K14165,59,134,423,34,92,143,184,258,73,27,25,14
K01363,680,1916,3711,905,1995,2416,4382,3905,1149,1422,562,590
K19607,4,3,8,11,23,48,0,20,5,17,5,4
K10420,18,56,84,35,76,88,180,44,8,67,34,31
K19787,72,204,312,139,286,276,458,283,107,323,116,127
K25378,77,108,265,188,455,379,221,324,69,341,176,208
K14571,321,753,1962,1042,1528,2011,2997,2389,669,2659,1386,1636
K23901,49,164,328,535,917,1251,113,78,28,969,424,393
K00889,96,153,508,107,228,432,253,346,95,319,150,160
K18756,3,5,11,35,97,122,50,30,15,39,23,15
K10393,110,153,441,144,240,331,113,269,71,243,72,76
K10206,452,1171,2255,3464,6475,9259,1953,2809,761,6113,3225,4459
K04712,33,120,202,235,478,677,482,309,101,470,208,230
K15503,137,413,898,273,409,529,922,1179,348,597,326,429
K24049,136,285,526,463,915,1239,181,390,98,648,277,327
K15375,10,20,45,15,26,29,363,66,19,16,10,13
K12478,122,203,654,342,803,951,227,479,158,326,144,234
K19721,1538,4232,8471,6147,14038,15799,3727,7421,2311,21447,9084,10305
K07198,237,585,1942,1128,1535,1989,2475,1877,590,2704,1594,1858
K25689,6,21,37,63,64,101,59,24,8,98,64,36
K04908,102,121,513,200,448,420,244,496,162,349,185,163
K22696,35,49,193,138,232,391,215,304,76,262,115,134
K08817,7,38,60,54,143,156,48,53,12,110,51,48
K02471,34,52,188,111,186,247,126,139,52,228,104,132
K06639,120,465,782,566,921,1325,139,530,182,1307,418,361
K10908,198,311,959,531,1115,1408,513,844,237,791,405,504
K12324,179,464,1175,577,1282,1152,337,1323,474,1344,576,650
K12319,33,59,168,78,213,275,20,203,74,180,65,55
K04943,63,183,345,259,507,553,139,118,39,473,151,211
K17267,239,695,1306,2069,3743,4623,430,1133,356,3578,1310,1404
K13218,7,30,58,128,175,251,107,69,14,159,57,65
K27244,62,154,269,579,1123,1257,327,380,99,901,457,539
K07881,67,198,305,167,315,444,274,222,69,335,114,118
K02880,816,2274,4663,8840,14921,18452,3588,2148,685,17161,10627,13509
K00133,14,70,100,680,1194,1555,68,82,15,1393,463,534
K09584,35,122,173,812,1440,1851,120,110,32,1480,575,549
K03564,71,156,268,11,8,39,250,184,59,11,9,13
K12823,57,92,274,126,218,478,167,158,42,374,147,127
K13982,2,5,25,7,9,22,3,8,1,2,1,0
K09667,95,157,467,776,1882,1790,301,454,117,1490,772,1057
K08766,105,222,506,1329,2525,2200,262,415,104,1599,644,790
K01305,5,32,96,91,126,162,58,48,17,137,57,79
K19001,21,81,94,137,219,253,109,135,35,337,197,150
K01942,16,68,112,163,289,426,83,58,24,447,191,182
K01930,29,64,162,56,172,116,48,90,36,79,25,43
K19752,52,101,254,124,255,272,184,137,49,199,91,100
K11664,0,9,21,0,0,20,0,37,0,21,0,0
K23539,135,517,664,332,547,620,529,258,99,441,173,177
K21862,175,205,751,449,1163,1175,767,1174,323,765,344,598
K28063,177,480,1123,957,1831,2482,1331,1768,517,2020,948,1104
K00248,45,89,198,295,479,246,36,73,27,286,103,96
K20216,54,141,291,2,6,3,189,166,54,0,1,1
K16781,83,128,293,114,201,300,147,227,73,266,111,93
K23886,35,41,128,283,441,445,146,147,36,1463,794,875
K04508,48,90,262,221,287,428,136,172,55,614,167,150
K20464,38,61,226,77,178,240,127,241,89,232,153,141
