"org","desc","variable","value","treatment","replicate","times"
"MC","Carbohydrate metabolism","X1",3.00039227658157,"1d","a",1
"MC","Energy metabolism","X1",4.9281054491003,"1d","a",1
"MC","Lipid metabolism","X1",1.22787134509519,"1d","a",1
"MC","Nucleotide metabolism","X1",1.43166184845773,"1d","a",1
"MC","Amino acid metabolism","X1",1.59203611414738,"1d","a",1
"MC","Metabolism of other amino acids","X1",1.81491687414903,"1d","a",1
"MC","Glycan biosynthesis and metabolism","X1",0.374582518104195,"1d","a",1
"MC","Metabolism of cofactors and vitamins","X1",1.59410355403657,"1d","a",1
"MC","Transcription","X1",1.45668592607748,"1d","a",1
"MC","Translation","X1",20.0587045529054,"1d","a",1
"MC","Folding, sorting and degradation","X1",8.99027578305628,"1d","a",1
"MC","Replication and repair","X1",1.57498644752878,"1d","a",1
"MC","Chromosome","X1",0.705453449979903,"1d","a",1
"MC","Membrane transport","X1",0.62783047959504,"1d","a",1
"MC","Signal transduction","X1",11.9995285163058,"1d","a",1
"MC","Signaling molecules and interaction","X1",0.447479911599492,"1d","a",1
"MC","Transport and catabolism","X1",9.08497526992844,"1d","a",1
"MC","Cell motility","X1",5.84953924282833,"1d","a",1
"MC","Cell growth and death","X1",7.73971629891744,"1d","a",1
"MC","Carbohydrate metabolism","X2",3.10446988489413,"1d","b",1
"MC","Energy metabolism","X2",5.10369736770947,"1d","b",1
"MC","Lipid metabolism","X2",1.14486074537173,"1d","b",1
"MC","Nucleotide metabolism","X2",1.30450889559412,"1d","b",1
"MC","Amino acid metabolism","X2",1.63188685195601,"1d","b",1
"MC","Metabolism of other amino acids","X2",1.65566595984247,"1d","b",1
"MC","Glycan biosynthesis and metabolism","X2",0.349779739430399,"1d","b",1
"MC","Metabolism of cofactors and vitamins","X2",1.54471029289015,"1d","b",1
"MC","Transcription","X2",1.629598062185,"1d","b",1
"MC","Translation","X2",21.6015168397201,"1d","b",1
"MC","Folding, sorting and degradation","X2",9.03405577395831,"1d","b",1
"MC","Replication and repair","X2",1.47916583537687,"1d","b",1
"MC","Chromosome","X2",0.701544446980793,"1d","b",1
"MC","Membrane transport","X2",0.549694385801239,"1d","b",1
"MC","Signal transduction","X2",12.0694568701873,"1d","b",1
"MC","Signaling molecules and interaction","X2",0.421420884740801,"1d","b",1
"MC","Transport and catabolism","X2",9.92135677837243,"1d","b",1
"MC","Cell motility","X2",6.77631657567883,"1d","b",1
"MC","Cell growth and death","X2",7.62284471452614,"1d","b",1
"MC","Carbohydrate metabolism","X3",3.13209725248757,"1d","c",1
"MC","Energy metabolism","X3",5.05851676273569,"1d","c",1
"MC","Lipid metabolism","X3",1.20497567253796,"1d","c",1
"MC","Nucleotide metabolism","X3",1.30336999431772,"1d","c",1
"MC","Amino acid metabolism","X3",1.62478347871653,"1d","c",1
"MC","Metabolism of other amino acids","X3",1.68713324326924,"1d","c",1
"MC","Glycan biosynthesis and metabolism","X3",0.359728564915755,"1d","c",1
"MC","Metabolism of cofactors and vitamins","X3",1.5539043141735,"1d","c",1
"MC","Transcription","X3",1.62191544929772,"1d","c",1
"MC","Translation","X3",21.5813238704296,"1d","c",1
"MC","Folding, sorting and degradation","X3",9.15598973006466,"1d","c",1
"MC","Replication and repair","X3",1.47005926663293,"1d","c",1
"MC","Chromosome","X3",0.69448137364269,"1d","c",1
"MC","Membrane transport","X3",0.570917106182217,"1d","c",1
"MC","Signal transduction","X3",12.1569493249077,"1d","c",1
"MC","Signaling molecules and interaction","X3",0.422735586210276,"1d","c",1
"MC","Transport and catabolism","X3",9.90966902343001,"1d","c",1
"MC","Cell motility","X3",6.65426144358676,"1d","c",1
"MC","Cell growth and death","X3",7.603549305907,"1d","c",1
"MC","Carbohydrate metabolism","X4",3.62453126552642,"2d","a",2
"MC","Energy metabolism","X4",5.89076920892987,"2d","a",2
"MC","Lipid metabolism","X4",1.23053305915101,"2d","a",2
"MC","Nucleotide metabolism","X4",1.25874989695749,"2d","a",2
"MC","Amino acid metabolism","X4",1.88564684423434,"2d","a",2
"MC","Metabolism of other amino acids","X4",1.77406207654508,"2d","a",2
"MC","Glycan biosynthesis and metabolism","X4",0.357678927252111,"2d","a",2
"MC","Metabolism of cofactors and vitamins","X4",1.6354060796452,"2d","a",2
"MC","Transcription","X4",1.73193605611291,"2d","a",2
"MC","Translation","X4",20.0037331897504,"2d","a",2
"MC","Folding, sorting and degradation","X4",9.231998940063,"2d","a",2
"MC","Replication and repair","X4",1.42502502283123,"2d","a",2
"MC","Chromosome","X4",0.685061488050929,"2d","a",2
"MC","Membrane transport","X4",0.552930479240452,"2d","a",2
"MC","Signal transduction","X4",12.4641592615108,"2d","a",2
"MC","Signaling molecules and interaction","X4",0.47357217944315,"2d","a",2
"MC","Transport and catabolism","X4",11.0949577531926,"2d","a",2
"MC","Cell motility","X4",7.58599598090619,"2d","a",2
"MC","Cell growth and death","X4",8.01664519480701,"2d","a",2
"MC","Carbohydrate metabolism","X5",3.74247506717172,"2d","b",2
"MC","Energy metabolism","X5",5.83158862197727,"2d","b",2
"MC","Lipid metabolism","X5",1.35474496894322,"2d","b",2
"MC","Nucleotide metabolism","X5",1.30771488028525,"2d","b",2
"MC","Amino acid metabolism","X5",1.90654569298195,"2d","b",2
"MC","Metabolism of other amino acids","X5",1.86024328144415,"2d","b",2
"MC","Glycan biosynthesis and metabolism","X5",0.386807846574025,"2d","b",2
"MC","Metabolism of cofactors and vitamins","X5",1.7439731328952,"2d","b",2
"MC","Transcription","X5",1.65249146363552,"2d","b",2
"MC","Translation","X5",19.7258713735776,"2d","b",2
"MC","Folding, sorting and degradation","X5",9.23218199521157,"2d","b",2
"MC","Replication and repair","X5",1.45915081661983,"2d","b",2
"MC","Chromosome","X5",0.688335098477652,"2d","b",2
"MC","Membrane transport","X5",0.574690915188441,"2d","b",2
"MC","Signal transduction","X5",12.3014924499544,"2d","b",2
"MC","Signaling molecules and interaction","X5",0.488176433227319,"2d","b",2
"MC","Transport and catabolism","X5",10.553074158999,"2d","b",2
"MC","Cell motility","X5",6.98437155193756,"2d","b",2
"MC","Cell growth and death","X5",7.67044452371555,"2d","b",2
"MC","Carbohydrate metabolism","X6",3.6229031075953,"2d","c",2
"MC","Energy metabolism","X6",5.7188578265773,"2d","c",2
"MC","Lipid metabolism","X6",1.28620194884872,"2d","c",2
"MC","Nucleotide metabolism","X6",1.40196245389906,"2d","c",2
"MC","Amino acid metabolism","X6",1.84644878034462,"2d","c",2
"MC","Metabolism of other amino acids","X6",1.830921636731,"2d","c",2
"MC","Glycan biosynthesis and metabolism","X6",0.371882660921429,"2d","c",2
"MC","Metabolism of cofactors and vitamins","X6",1.62741471544558,"2d","c",2
"MC","Transcription","X6",1.73392649429246,"2d","c",2
"MC","Translation","X6",19.1177577173864,"2d","c",2
"MC","Folding, sorting and degradation","X6",9.35785884300532,"2d","c",2
"MC","Replication and repair","X6",1.53114176573326,"2d","c",2
"MC","Chromosome","X6",0.685349248907916,"2d","c",2
"MC","Membrane transport","X6",0.591371008341792,"2d","c",2
"MC","Signal transduction","X6",12.540888338987,"2d","c",2
"MC","Signaling molecules and interaction","X6",0.496356071765456,"2d","c",2
"MC","Transport and catabolism","X6",10.8252263317059,"2d","c",2
"MC","Cell motility","X6",7.37017479160663,"2d","c",2
"MC","Cell growth and death","X6",7.97439384151317,"2d","c",2
"MC","Carbohydrate metabolism","X7",3.65456817708314,"7d","a",7
"MC","Energy metabolism","X7",5.99835228995206,"7d","a",7
"MC","Lipid metabolism","X7",1.40522407983363,"7d","a",7
"MC","Nucleotide metabolism","X7",1.10117120590044,"7d","a",7
"MC","Amino acid metabolism","X7",1.96894021335709,"7d","a",7
"MC","Metabolism of other amino acids","X7",1.78908157396699,"7d","a",7
"MC","Glycan biosynthesis and metabolism","X7",0.348286543732464,"7d","a",7
"MC","Metabolism of cofactors and vitamins","X7",1.64838840670836,"7d","a",7
"MC","Transcription","X7",1.91780599750239,"7d","a",7
"MC","Translation","X7",18.2417455434168,"7d","a",7
"MC","Folding, sorting and degradation","X7",9.07416348227909,"7d","a",7
"MC","Replication and repair","X7",1.22028164832135,"7d","a",7
"MC","Chromosome","X7",0.68791036806655,"7d","a",7
"MC","Membrane transport","X7",0.863558504778765,"7d","a",7
"MC","Signal transduction","X7",12.9944689589267,"7d","a",7
"MC","Signaling molecules and interaction","X7",0.601228593492497,"7d","a",7
"MC","Transport and catabolism","X7",11.2430947756083,"7d","a",7
"MC","Cell motility","X7",7.14788189883067,"7d","a",7
"MC","Cell growth and death","X7",8.16392297836613,"7d","a",7
"MC","Carbohydrate metabolism","X8",3.73501993994404,"7d","b",7
"MC","Energy metabolism","X8",6.08513126956097,"7d","b",7
"MC","Lipid metabolism","X8",1.43599761709436,"7d","b",7
"MC","Nucleotide metabolism","X8",1.14270383207544,"7d","b",7
"MC","Amino acid metabolism","X8",1.9810349506158,"7d","b",7
"MC","Metabolism of other amino acids","X8",1.83177574546851,"7d","b",7
"MC","Glycan biosynthesis and metabolism","X8",0.355521284434131,"7d","b",7
"MC","Metabolism of cofactors and vitamins","X8",1.69645454716411,"7d","b",7
"MC","Transcription","X8",1.89890452201529,"7d","b",7
"MC","Translation","X8",18.2095889913231,"7d","b",7
"MC","Folding, sorting and degradation","X8",9.10082922631553,"7d","b",7
"MC","Replication and repair","X8",1.25798595460754,"7d","b",7
"MC","Chromosome","X8",0.70303544772103,"7d","b",7
"MC","Membrane transport","X8",0.863416127192907,"7d","b",7
"MC","Signal transduction","X8",12.9868867861994,"7d","b",7
"MC","Signaling molecules and interaction","X8",0.623534350081718,"7d","b",7
"MC","Transport and catabolism","X8",11.04457703042,"7d","b",7
"MC","Cell motility","X8",6.94077002297218,"7d","b",7
"MC","Cell growth and death","X8",8.18263111618333,"7d","b",7
"MC","Carbohydrate metabolism","X9",4.04130799511241,"4d","a",4
"MC","Energy metabolism","X9",6.34454062335588,"4d","a",4
"MC","Lipid metabolism","X9",1.42332983159075,"4d","a",4
"MC","Nucleotide metabolism","X9",1.25205863048161,"4d","a",4
"MC","Amino acid metabolism","X9",2.06923853379239,"4d","a",4
"MC","Metabolism of other amino acids","X9",1.83166272220785,"4d","a",4
"MC","Glycan biosynthesis and metabolism","X9",0.364426865277737,"4d","a",4
"MC","Metabolism of cofactors and vitamins","X9",1.68978216647616,"4d","a",4
"MC","Transcription","X9",2.00879491498991,"4d","a",4
"MC","Translation","X9",17.5849115452967,"4d","a",4
"MC","Folding, sorting and degradation","X9",9.16532280868318,"4d","a",4
"MC","Replication and repair","X9",1.366228006286,"4d","a",4
"MC","Chromosome","X9",0.672797286806428,"4d","a",4
"MC","Membrane transport","X9",0.800265286991512,"4d","a",4
"MC","Signal transduction","X9",13.2601680493694,"4d","a",4
"MC","Signaling molecules and interaction","X9",0.602482524133747,"4d","a",4
"MC","Transport and catabolism","X9",11.528622032873,"4d","a",4
"MC","Cell motility","X9",7.34899806175977,"4d","a",4
"MC","Cell growth and death","X9",8.09267564552311,"4d","a",4
"MC","Carbohydrate metabolism","X10",4.16832522603327,"4d","b",4
"MC","Energy metabolism","X10",6.6092226812358,"4d","b",4
"MC","Lipid metabolism","X10",1.41909940226393,"4d","b",4
"MC","Nucleotide metabolism","X10",1.1382518347813,"4d","b",4
"MC","Amino acid metabolism","X10",2.14117831913737,"4d","b",4
"MC","Metabolism of other amino acids","X10",1.84648396325855,"4d","b",4
"MC","Glycan biosynthesis and metabolism","X10",0.363699154789418,"4d","b",4
"MC","Metabolism of cofactors and vitamins","X10",1.76579286775826,"4d","b",4
"MC","Transcription","X10",1.85862854598901,"4d","b",4
"MC","Translation","X10",18.5443359106473,"4d","b",4
"MC","Folding, sorting and degradation","X10",8.98954452904552,"4d","b",4
"MC","Replication and repair","X10",1.25722619039825,"4d","b",4
"MC","Chromosome","X10",0.666364416045253,"4d","b",4
"MC","Membrane transport","X10",0.701194162743956,"4d","b",4
"MC","Signal transduction","X10",13.0308262899118,"4d","b",4
"MC","Signaling molecules and interaction","X10",0.574461677458214,"4d","b",4
"MC","Transport and catabolism","X10",11.6626948534466,"4d","b",4
"MC","Cell motility","X10",7.6369457192801,"4d","b",4
"MC","Cell growth and death","X10",7.95910450888093,"4d","b",4
"MC","Carbohydrate metabolism","X11",3.71806209650598,"4d","c",4
"MC","Energy metabolism","X11",6.1232846824911,"4d","c",4
"MC","Lipid metabolism","X11",1.35434608785088,"4d","c",4
"MC","Nucleotide metabolism","X11",1.20085532201971,"4d","c",4
"MC","Amino acid metabolism","X11",1.98124264842606,"4d","c",4
"MC","Metabolism of other amino acids","X11",1.86876101772297,"4d","c",4
"MC","Glycan biosynthesis and metabolism","X11",0.369062318464686,"4d","c",4
"MC","Metabolism of cofactors and vitamins","X11",1.72193597739782,"4d","c",4
"MC","Transcription","X11",1.70498314715564,"4d","c",4
"MC","Translation","X11",18.3140609301035,"4d","c",4
"MC","Folding, sorting and degradation","X11",8.83555844204684,"4d","c",4
"MC","Replication and repair","X11",1.30833268417126,"4d","c",4
"MC","Chromosome","X11",0.685306223927189,"4d","c",4
"MC","Membrane transport","X11",0.779352646626312,"4d","c",4
"MC","Signal transduction","X11",12.7641878226348,"4d","c",4
"MC","Signaling molecules and interaction","X11",0.602432353083679,"4d","c",4
"MC","Transport and catabolism","X11",11.088106067412,"4d","c",4
"MC","Cell motility","X11",7.05863520364637,"4d","c",4
"MC","Cell growth and death","X11",8.03377115211295,"4d","c",4
"MC","Carbohydrate metabolism","X12",3.20088363708758,"Starved","a",0
"MC","Energy metabolism","X12",5.03011977928885,"Starved","a",0
"MC","Lipid metabolism","X12",1.27379935507147,"Starved","a",0
"MC","Nucleotide metabolism","X12",1.16741906198082,"Starved","a",0
"MC","Amino acid metabolism","X12",1.71226255768391,"Starved","a",0
"MC","Metabolism of other amino acids","X12",1.66746076407829,"Starved","a",0
"MC","Glycan biosynthesis and metabolism","X12",0.322640020783942,"Starved","a",0
"MC","Metabolism of cofactors and vitamins","X12",1.50558951906457,"Starved","a",0
"MC","Transcription","X12",2.5720287894664,"Starved","a",0
"MC","Translation","X12",16.4778887809854,"Starved","a",0
"MC","Folding, sorting and degradation","X12",10.3383494086131,"Starved","a",0
"MC","Replication and repair","X12",1.307959923805,"Starved","a",0
"MC","Chromosome","X12",0.731256664746133,"Starved","a",0
"MC","Membrane transport","X12",1.04536453225426,"Starved","a",0
"MC","Signal transduction","X12",14.0313976849424,"Starved","a",0
"MC","Signaling molecules and interaction","X12",0.689442722568568,"Starved","a",0
"MC","Transport and catabolism","X12",11.672992283674,"Starved","a",0
"MC","Cell motility","X12",6.71303109059134,"Starved","a",0
"MC","Cell growth and death","X12",8.47536812087153,"Starved","a",0
"MC","Carbohydrate metabolism","X13",3.19063801417921,"Starved","b",0
"MC","Energy metabolism","X13",5.17870206827976,"Starved","b",0
"MC","Lipid metabolism","X13",1.33245976139451,"Starved","b",0
"MC","Nucleotide metabolism","X13",1.14135671036207,"Starved","b",0
"MC","Amino acid metabolism","X13",1.70437897100829,"Starved","b",0
"MC","Metabolism of other amino acids","X13",1.70113379513551,"Starved","b",0
"MC","Glycan biosynthesis and metabolism","X13",0.327778516431617,"Starved","b",0
