1d 2d 4d 7d
K12447 0.602866285905514 0.83927579229072 0.0135594359574981 -0.408745895394594
K09667 0.606547379508428 0.584907355926398 0.0585244755565949 -0.22913718749005
K01057 -0.0367012755334807 -0.878357335917108 -0.128390054523353 -0.218200347434457
K03231 -1.59781444641991 -1.92607735259091 -0.711401982948615 -0.085167377615055
K09562 -1.90391277245663 -2.35996270311085 -2.5846233477431 -0.936090313482971
K01555 -0.971342293557799 -1.58547326382653 -2.77261295561033 -3.13833296810411
K01081 -0.558506044287426 -0.535638555168668 -0.54555495400083 -0.69125881813001
K14721 0.5650907494776 0.122677267360632 -0.25044767444199 0.189063709217612
K22503 0.129049343408253 0.515844835052753 -0.151719095278805 0.370710013356775
K00111 0.177070382179065 0.574924561409816 0.31377533313982 -0.0983060082395969
K20123 1.98624487493186 1.84794403318552 1.27313549111064 0.129840655009445
K06617 0.480138296881683 0.00386531192988472 -0.727069390475178 -0.56791702923253
K03715 1.15556724933556 0.948749022010377 0.711231854757976 -0.116305492516599
K02924 -0.430805097659048 -0.0481614862805271 0.782262457329101 1.06333869052725
K06027 0.177163101390015 0.305144528817542 0.0709762341313985 -0.26294909332758
K17800 0.0740244628099532 -0.307161272245411 -0.148855957043075 -0.567346240349655
K01953 -0.995340934198389 0.0416713245278854 0.338506316481881 0.113178872374071
K24512 1.08728902844918 0.284164109412899 0.562265853423957 0.0388170616074604
K04646 0.104580979661687 -0.132775218825182 -0.403068024031164 -0.40739140292151
K24763 0.256486319549761 0.31706334323814 0.346487571579398 0.279769013343669
K11594 -1.39743580083875 -0.294974994209912 0.139791361681228 0.122375467294563
K11599 0.347364248627709 0.938574834829489 0.0212668699489783 -0.0530908938340793
K03797 -1.36512201519691 -0.746891639614949 -0.227411729547834 -0.248272062438978
K19750 0.188193977520138 0.586586655598033 0.12898834184412 0.308954098617984
K14324 0.304244347745778 -0.0199902524308237 0.273202849423108 0.318552016673487
K10779 -0.165772921245705 0.0322579688399995 -0.468473146571184 -0.519585031106521
K06949 0.723042639882872 0.582391955392113 0.497457899938215 0.518113706226134
K01674 1.44539963176222 1.27420571276496 1.43011872868788 1.20072794156953
K08714 -0.0465228945132414 -0.0745576754734493 -0.130664425487048 -0.0305909627956776
K05850 -0.501677041168726 -0.526345782620503 -0.40940170612786 -0.100868696572492
K10747 0.00674513600430376 -0.866687635294057 -0.499434484359168 -0.123403422502328
K03841 -1.25050356279421 -1.18735880672694 -0.971735294423487 -0.857687455302577
K21993 0.492358219317695 0.756315399667518 -0.218418666536469 -0.211853785645565
K12823 -0.0897087850898895 0.15687508321533 0.107704425794162 0.364195162278387
K08681 -0.137294770079198 0.402521359271809 0.638322886852178 0.813392508101743
K10843 0.922019952388993 0.639619865577926 0.313932274169947 -0.208783694094591
K14856 -1.01430891319988 -0.814180248357714 -0.139000659052969 0.282640364075194
K01689 0.29778078309477 0.349156868070041 -0.800624981987369 -0.877441506277475
K10406 0.123294462558305 0.215190210347705 0.100268581139833 0.225004192560517
K15292 0.371104499988929 0.540882590981448 0.283722031397539 0.36882282478399
K01869 0.169146608015917 -0.182639588463154 -0.418994557470941 0.00698129233710236
K08056 -0.300094495861529 -0.44254935372362 -0.090448398113642 -0.248242552197539
K04843 -1.03739419345861 -0.268250957090137 -0.286587979687603 0.214830608607229
