1d 2d 4d 7d
K25633 -0.0370763714119826 0.0198747573271538 0.346972974506122 0.428682554757736
K17302 -0.133069866713898 -0.353137666502712 -0.4745769918285 -0.541492063130119
K00981 -0.146428085205518 -0.158577983631548 -0.398679884400756 -0.408882354596552
K12492 -0.641892162296814 -0.431116842348997 -0.0109474352894059 -0.0086445265170438
K00987 0.432539100990909 0.364715187000843 0.196562740946851 0.149744719942259
K03020 1.57847808073552 1.25626822671754 0.0505565290016086 0.0825374649296512
K02976 0.215017261363099 0.122278997126626 0.00643119076039902 0.139896767409746
K14857 -0.30571295272829 -0.344079860959037 -0.08140612687505 -0.225634940752251
K10636 0.258163003484961 0.0185883845739358 0.101886503595322 0.128285479134417
K14802 -1.899058484042 -1.33125975100134 -0.504403876520313 -0.467554025536242
K03514 -0.00848030960608751 0.0758609515782259 -0.00848189426440068 0.0173094693500323
K14685 0.0180475888614323 0.33978016927958 0.195593825235027 0.0542200453777119
K02318 -0.235654056071317 -0.118908938750278 0.171197897580868 -0.0278520336975013
K14292 -0.165572845317506 -0.379424369341388 0.0402818691263414 -0.121647626647308
K09515 -0.0813641475381165 -0.480597420993372 -0.760824558165926 -0.398884699223025
K11996 -0.0392199268884968 -0.137268565093369 0.105974753758056 -0.0866337561694111
K08735 0.871426392407326 0.993268594353393 0.587822877851219 0.459735014126502
K06631 -0.238290667089489 -0.200264602104314 -0.206326871899378 -0.225574821009591
K19683 0.0878660459186099 0.00595501631112455 -0.0827900271423907 -0.0441148313642379
K14809 -0.210424047386398 -0.292161350563687 -0.334090777723778 -0.159771824468897
K11664 -0.106006458557992 -0.0268160831838876 0.0541769433767422 0.268889684157485
K23978 -0.293536778312883 -0.0951606801833328 0.0847941138128874 -0.0352306657587906
K01726 0.114396745515249 0.208289227320869 0.0879543230436895 0.0914453783992525
K06641 -0.375663899889464 -0.532619865070638 -0.642830059570883 -0.28669202411336
K12350 -0.338341009705468 -0.386634074518518 0.0513057330555312 -0.0691129462177331
K17199 -0.318858807513581 0.088420320756618 0.215266622773252 0.557856519619435
K12349 -0.368551374596566 -0.585343150069265 -0.486942404826159 -0.489605653037535
K25473 -0.22061399154272 -0.298676890960644 -0.276395903446164 -0.159533266405349
K06695 -0.100212969629995 -0.0890522157013589 0.0372005759516908 0.0877998116550309
K01597 -0.436944637338016 -0.262813752502463 -0.292227239874847 -0.0077500152159813
K08957 -0.547603954610591 -0.398710701451157 -0.202234932589179 -0.0657177606307636
K00889 -0.228299466675886 -0.30294110129534 -0.262557201620672 -0.152337719708777
K06067 0.216612458406102 0.194229412198039 0.115254501676904 0.0790432743084576
K09578 1.31453671491644 0.857667671323837 0.681386217687792 0.683579169059083
K06173 1.23449296178222 0.795519701456138 0.31648186905366 0.30472858165146
K11252 -0.077280880589776 0.159437427882103 0.051560155837341 0.176531464668216
K14775 0.0432836302170554 -0.00247637433649446 0.0203701407066338 0.0987639985394719
K01613 0.0200892850594735 0.312060202103742 0.712488628455809 0.639006915081678
K22068 -0.497005698761078 -0.342202324364023 0.256340616947736 0.215085429158362
K05768 0.245741178166466 0.281743614313648 0.265282041018125 0.186473933364475
K03233 0.158368318797616 0.087587060182442 -0.0232872557132926 -0.0287567432656943
K12883 0.774447619364794 0.841292616239518 0.773995632330337 0.675141983069749
K07972 -0.894455824334269 -0.427731398692088 -0.157403991711883 0.057972539596613
K23730 -0.0780923431017269 -0.0705817721506874 -0.0838352918951969 -0.0552912510550674
K07019 -0.0308060156073183 0.0493558438467296 0.130621927845125 -0.0559550927203328
K15033 0.243577422837012 0.0677768450571437 0.0756808861829914 0.136779438633185
K25471 0.0148216128751031 0.0419949356646802 -0.0310532351803463 -0.110755319215528
K03113 0.469154045904726 0.330506575202798 0.409332511043805 0.511054653828144
K01488 0.158565769255437 0.0913520942243224 0.198759096699487 0.242077356220917
K13806 0.0344809699032733 0.0496311346605788 0.32919231175913 0.279970976378162
K21768 0.197918190473934 -0.0372536197098335 0.327831036911297 -0.0777670935102558
K24925 0.0168728411521338 0.310854292363434 1.00650029704779 0.199744267929807
K16781 -0.167576747987761 -0.14617109645481 -0.0518199117923616 -0.104017536607558
K11323 0.657546193394839 0.745968508487534 0.564766402293 0.408703531110698
K02910 0.261045843364278 0.197549522645295 0.139654721989013 0.276127501704839
K03231 0.400205673253125 0.318623718688153 0.37454972209629 0.272937605571962
K01158 -0.344369053765166 -0.0548894639030053 0.375031871385014 0.266593545025207
K11699 -0.234703031498672 -0.41608923158352 -0.448102301546447 -0.315651753353797
K26236 0.127685169372689 0.0731575969698507 0.176327513613185 0.130606510805581
K13025 -0.252489223414398 -0.152043318673439 -0.0939555981787276 0.127345425466691
K03657 -0.163361417531811 -0.0267577391271629 0.158539815319593 -0.0304557159522454
K11251 -0.0425168534367259 0.0835112713522781 0.136400098100655 -0.0213151199515702
K01672 0.129414297994697 0.351628917000312 0.796888706136355 0.673792243329842
K11128 0.740112010705915 0.799842384095077 0.635406159914664 0.480970874894582
K12581 -0.311798589872812 -0.198881411257366 0.0189546749280493 0.0844964812473191
K02996 -0.133449065826336 -0.103088484969919 0.0642361133097906 0.162990978251336
K10418 0.357924149512943 0.402428942853067 0.200216145358213 0.274331416546111
K03021 0.329984092919543 0.324127530534659 0.29718115362383 0.178721957019902
K16755 -0.401821358619886 0.00963196331190791 0.65212808958855 0.113625946252569
K01834 0.0741096838895444 0.221805718993867 0.271878846159203 0.302647180010656
K14012 -0.251942960205696 -0.24273320810643 0.120272939934108 0.0729445967316304
K06943 0.0325245317646655 0.0463970974159093 -0.00725823522105704 0.022686794538678
K03857 -0.119338503858102 0.00749097583582953 0.181623787484513 -0.0259004913473452
K14457 -0.22605187715262 -0.111960764741083 0.0127122651298521 0.137425327628999
K13750 -0.156608660537353 -0.0945851833440028 0.033638231510994 -0.0336703059115274
K25829 0.603106596582488 0.138134593498941 -0.0526884577198821 0.109423921182645
K10901 0.178891734353099 0.0664756093525268 0.017923294906314 0.175573111400761
K10401 -0.0531336943189743 -0.175994869436735 -0.134856251409118 -0.0270512273417029
K19406 0.00951336503016411 0.348048604666875 0.491660064048766 0.135564856538829
K08073 0.107764867540052 0.502679221615381 0.928441204789639 0.491297828698229
K03094 0.0647536980227213 0.0268835588944505 0.00807472241538718 0.163651661279533
K01869 1.0524249895992 1.11292206843847 0.48291069392899 0.424253547000341
K02947 0.330829197233475 0.263604843052776 0.09495152894638 0.157334131624735
K13280 -0.0387551895129337 -0.057117818520254 -0.237558006299063 -0.165086106358343
K12968 -0.323874164024774 -0.634264430566502 -0.137923522807031 -0.240636761329553
K10753 -0.0088732711057393 -0.0637034951588882 0.0252320458646571 0.20126365362448
K20182 0.0583802043083084 -0.0615219936385098 -0.161658477642438 -0.175185985888937
K06948 -0.61854291467878 -0.630846674803027 -0.109685625092052 -0.230515409514595
K01081 0.588025040198117 0.582103532274151 0.524742323174804 0.414292209301736
K06655 0.160282894899709 0.947434859157189 1.17752719307482 0.102542487154249
K17301 -0.183424056200964 -0.244180987480898 -0.10884371028957 -0.249870213462795
K10691 -1.54281848755107 -0.44374193399871 0.133594086592271 -0.00985606017652016
K20028 0.350195404518875 0.384397453936583 0.0685775931219631 0.201604776865571
K07025 -0.0542126425267063 -0.145755841914262 -0.0325840254363531 -0.0140676394795725
K14208 -0.951380246135564 -0.677825243234837 -0.180794807956522 -0.135008586695682
K25552 0.518226777120806 0.407361173113826 -0.012174543014686 -0.162858763065725
K24729 -0.235323012982614 -0.223201647997646 -0.238117169170516 -0.248481780853808
K02980 0.555612535763043 0.381313625552929 0.27711829448765 0.279593514444291
K03979 0.213834908604849 0.139565050950077 0.313155477211542 0.214398680167705
K01128 -0.030034204469524 0.122312062332532 0.16684694961101 0.0603035884831793
K24523 -0.238620277113904 -0.548186143851848 -0.546324947411564 -0.531318188358848
K02358 0.587891288154438 0.89572489728094 0.313701534850592 0.405775686744021
K19750 -0.66045042737537 -0.736118264415606 -0.293715490131833 -0.568635801931424
K24723 -0.114783022726816 -0.0637436756955673 -0.0654341603812599 -0.08098910205611
K15113 -0.763931097928465 -0.702413172906051 -0.33737843771204 -0.284654677776414
K10419 0.16254912930764 0.27969296449764 0.0985380586229573 0.172541823450581
K09495 0.471019684412388 0.352658299952967 0.211147188415371 0.0672389323227718
K00921 -0.165230763807526 -0.223544126766403 -0.24381122601757 -0.290590941028853
K13412 -0.527824692356386 -0.435782202764236 -0.678497974662126 -0.633436311425787
K02541 0.528487058977379 0.416891318285578 0.121066908261211 -0.00460812564333577
K02211 -0.194532175967341 -0.125125202698784 -0.137001654117902 -0.126665487561137
K04807 -1.25328090710203 -1.0439550913136 -0.56053358864294 -0.821073486545943
K25615 -0.0527853539645577 -0.121328549488855 -0.295629352492373 -0.29551992172863
K00845 -0.822637523108191 -0.751357376755662 -0.32370673222486 -0.186937772935124
K06174 -0.0660047287674121 -0.158400406210842 -0.392344336785561 -0.366289697536382
K16729 0.134599778048822 0.0899858631784133 0.0731431920662273 0.104135457726989
K12405 -0.113491226718924 -0.174322541562872 -0.22596664564807 -0.187275079713358
K11308 -0.196103937498122 -0.246328869824785 -0.203278862800979 -0.0569476974352815
K03868 0.821351445203836 1.03197223696325 0.779751861204609 0.688595655662127
K13979 -1.24585752275118 -0.832825554978587 -0.107063077684517 0.174775945305263
K04366 -0.0916976537173547 -0.181111073772039 -0.190808455947925 -0.141487866461045
K22866 0.475516071434033 0.628520205137291 0.2477245808004 0.3167610820653
K12619 -0.292450174675658 -0.417108056556699 -0.21573040878955 -0.275019668535956
K10956 0.0577883418418936 0.101023559860741 -0.139427760631587 -0.076937456440315
K12591 -0.172228994019115 -0.254550089327119 -0.192234881098725 -0.0687827718978022
K24735 -0.101036891019195 -0.099401377691561 -0.191374897909338 -0.161669241996602
K02136 0.366573022440962 0.772277236615622 0.55124745129492 0.410269634210043
K01870 0.200547298978404 0.0917639643946945 -0.128211841849289 -0.188511161012715
K16473 0.313912708913535 0.132304104368393 0.195277097612895 0.381175718816645
K15338 -0.734295337553283 -0.791693215995974 -0.315445997851949 -0.293026474383981
K02966 0.585202722893262 0.382171499831348 0.0906579606358398 0.206633780707441
K07342 0.288706064503741 0.261647413685621 0.0632009852539832 0.0584284056106287
K08286 -0.599835835024517 -0.288054933496363 0.0139551507393248 -0.0557736011212978
K10949 -0.160544951832434 -0.152543878676427 -0.224398950174436 -0.08648155583151
K10406 0.89901454644896 0.779354771854471 0.325699202184942 0.157303866555294
K05642 -0.52295994580586 -0.726221463311543 -0.450847250755945 -0.33623048008285
K15013 0.0675155935267946 0.177523270165885 0.116043923442649 -0.0156377174191132
K12739 -0.0229594164241775 -0.0452480856954704 -0.211841030918589 -0.0985089761113846
K02350 -0.306282910434201 -0.259211214134978 -0.238507937438393 -0.231830705953324
K14820 0.235077935835775 0.248058542916232 0.123019283270967 0.0596104139117569
K10576 -0.428874993504016 -0.196414851974701 0.25376132164641 0.39862002458016
K02359 -0.802159101262787 -0.697028885287666 -0.312821574440381 -0.158130198092546
K10746 1.02257994586236 0.567239694480496 0.014877572505842 0.0974519986368722
K18079 -0.833078250268838 -0.361476819609433 -0.0876918513713151 -0.123750750487582
K22282 0.39971215959318 0.458561591022469 0.383825806947497 0.396680322813347
K04532 0.158179925098387 0.183212427304778 -0.0403867193780556 -0.0335244478773376
K01409 -0.148341181571125 -0.20164438708144 -0.285373623039317 -0.127523510704396
K10756 1.07652369032452 0.967034999432148 0.465241006604903 0.419803076766184
K05015 -0.530913280367698 -0.751795753342695 -0.810840914813645 -0.799430755005457
K13348 -0.105101454901636 -0.145824037306013 -0.119655585619132 -0.0802479042257383
K15523 0.505920220615258 0.55836716576824 0.345415197177286 0.250022876804747
K26544 -0.330520970536382 -0.0515363960176663 0.0827083931828769 0.0422458097191434
K19496 0.217106769746026 0.316218300673371 0.535050954485433 0.31792024261102
K07565 0.294602847570462 0.0830365574148845 0.0547507235992785 0.0791269137186396
K00968 -0.424046072265787 -0.249644860165859 -0.174170476210832 -0.0598397749187892
K08360 0.0824692651245837 0.111860583356938 0.251278039207635 0.321265692126236
K01522 -0.339779068007486 -0.0329098664651196 0.158613221313483 0.0480797466123957
K22684 0.112428175126883 0.229084506914484 0.150409847239638 0.105507114028898
K01279 0.504762376937876 0.927295516811748 0.658982198133583 0.575757770688933
K25647 -0.0482160049839468 0.0801215329890129 -0.0735158445176608 0.0940192097984929
K01507 0.369350192587605 0.735409524939399 0.616324322584713 0.684709037256315
K20879 0.205389077460466 0.0181258873721676 -0.0330241863857804 -0.14185482656641
K14808 0.0908942905628621 0.153880781341984 0.115975185903978 0.197577107780857
K00809 1.16623985792388 0.661786402144282 -0.451088057539831 -0.316821602549612
K14293 -0.253721196954265 -0.348584284886449 -0.459075890604412 -0.522133846116607
K02875 0.795078458680587 0.492288803177779 0.233898864341734 0.345786727445597
K14855 0.149719061649574 0.0616261417693025 -0.0887880732677033 -0.0883787621715625
K14539 -0.273029638716693 -0.158584454732582 0.0113576718305964 -0.0321594024660926
K01275 -0.437759352870487 -0.416918825370178 -0.242953909021897 -0.130308046261986
K07404 0.604567304169239 0.874531301049174 0.775101061125848 0.509615831256407
K14403 0.200436688236162 0.0117742388720566 -0.107488557561404 -0.215268984119562
K06236 -0.164459264326933 -0.307527567812275 -0.24638156613371 -0.116300477605263
K02156 0.0295230711988644 1.49602268669453 3.8207700536234 1.5010712669843
K12402 -0.010862363733823 0.0552896580664922 -0.0979554853764381 -0.116668028544035
K19674 0.0505654446457573 -0.0854285925173449 -0.290048722413735 -0.362937503073516
K17680 0.893068871739372 0.664950000291155 0.130270024110542 0.00104883009939254
K14791 -0.198935074771176 -0.32133281823042 -0.313134287620323 -0.28391889584082
K08850 -0.213541009533252 -0.383318339066675 -0.409129076609321 -0.470714038333273
K03687 -0.0664007082551162 -0.122935856708146 -0.0285427210197041 0.21145032801648
K04567 0.334169939716099 0.316822003700432 0.0445850540915554 -0.0516408100920889
K06238 -0.871802651403057 -1.17100862551373 -0.231231940580305 -0.758903027808355
K00604 -0.201102236343741 -0.139654235490061 -0.00345118954194026 0.0249107671676577
K15429 -0.278462263975272 -0.543297669249104 -0.255426544302271 -0.345842058245402
K06874 0.273574232089589 0.0534154595263158 -0.109305577613836 -0.0345401265669175
K01634 -0.42438640155904 -0.57270087808862 -0.328784699296378 -0.327223819547283
K12604 -0.199764401171761 -0.26078810682879 -0.221176684078643 -0.284327727192055
K15334 -0.397322705204326 -0.637240951226199 -0.462769234406226 -0.643642365160786
K07880 0.0353616486296723 -0.0475349106785534 0.017203651112727 0.208835733483391
K10523 -0.286748569805077 -0.135643676070586 0.121944515564059 0.0531977423170487
K16538 0.268946374410573 0.320821019134975 0.370123336771602 0.379389134475075
K01011 -0.488677850198961 -0.588415634467732 -0.316867850045762 -0.133466812767393
K04718 -0.327077602819528 -0.163300994873338 -0.0230140904946731 -0.184953473702708
K16742 -0.157001865169273 -0.724705154320342 -0.553846460516978 -0.365819851106152
K24722 -0.132806451426623 -0.120007361496004 -0.178069112312673 -0.0967476818118804
K04798 -0.0783225106144804 -0.138813205578399 0.35006351995921 0.415792065565862
K09550 1.40226877813859 1.31700708852746 0.945819054597469 0.622774937828124
K06902 -0.0940833365158224 -0.320453279588168 -0.253582482700079 -0.0778129761854559
K01872 -0.161956537952745 -0.111180966346571 -0.304299389917012 -0.413884926956841
K24887 -0.0163570066428179 -0.0774783196283365 -0.546310990024091 -0.485270447934859
K15110 0.577570851692542 0.6393478695322 0.649302924276379 0.43237612757683
K22762 0.356978638822784 0.353371160351921 0.0967054207279255 0.0812184211364126
K16675 -0.00644246902661384 -0.0530911016283707 -0.162510041665515 -0.103731099735108
K11292 0.0665964952266557 0.0335865840391856 -0.120638915432134 -0.0836915215115046
K11982 1.18875999950341 1.01534561262512 0.702191251635754 0.266595203507496
K17919 -0.88018527768614 -0.645197242927583 -0.0186534584756626 -0.0386532253030346
K15498 -0.0150446891854471 0.0121526598645059 0.0480607494298757 0.0617381032903244
K06997 -0.213387218715745 0.00837299517244894 0.116546625791936 -0.0684052963601804
K19673 -0.236252581662312 -0.384958371301875 -0.421031907539095 -0.382126503821403
K10356 -0.881983708507201 -0.685498467598531 0.130022915988096 0.0588797028121642
K08143 0.0429521359149761 0.00522733968865378 -0.123119313427029 -0.153716400415702
K00382 -0.0647537844267308 0.156228383675886 0.104937726105267 -0.0301937226348707
K09291 0.441040967161443 0.441731688356053 0.19032085511947 0.0317863120157769
K04802 -0.0635654848450508 0.0828951108981944 0.026685459893892 0.0884153682511548
K01836 -0.260135249901156 -0.1496735501482 0.00302433908140151 -0.185945861756257
K07562 -0.515675309126843 -0.18327981248946 0.122005722494916 -0.0710649815758827
K08869 -0.611827413700405 -0.454031957344857 -0.256627812240824 0.156474407244168
K25877 0.480812971788234 0.653972102426392 0.488841914647761 0.507115502529868
K03942 -0.0521376040351852 -0.0384280892031627 0.0591364606490713 -0.105221134586768
K14016 -0.260404638347336 -0.0894216911082384 -0.085135602221223 0.0889761917674206
K12172 0.324322037645694 0.202989986540321 -0.0768341627351443 -0.0639449927787118
K01256 1.21683066250251 1.28205629533119 0.777338058533112 0.732761170881725
K14617 0.293173140574747 -0.0543932465888885 -0.195316721851367 -0.0433888197809615
K21396 -0.662769912366023 -0.486948921286066 -0.188774943186877 -0.0852266502775593
K01647 -0.196399855016895 -0.240312577617542 -0.292094716257518 -0.315891457089866
K03469 -0.115447756187115 -0.623759564538817 -0.137448546594082 -0.0872542060435672
K00914 0.132081714375323 0.0817131007169248 0.0451375872614236 -0.100756340640433
K03939 0.0428188630353578 0.146404310902363 0.183741959079337 0.0287935208147715
K01881 0.136286425394744 0.0849875984799135 -0.25023081924591 -0.199745770970919
K06027 -0.0549602709596283 -0.317378246946329 -0.504848497659783 -0.348463646782098
K14852 -0.161921771845973 -0.13986172032654 0.0333578093910038 0.170313783603064
K03955 0.297981715475501 0.508007819874202 0.547274541100921 0.312051995823801
K24158 -0.0662293210145299 -0.00558170773210011 0.081435185003237 0.0643236938444455
K01875 0.925176318974601 0.866940770904542 0.315054670252761 0.271670815482829
K04774 -0.847023539341796 -0.676327175339711 -1.06612195196639 -0.715520806003286
K11827 0.358678228489078 0.352589219474148 0.284961432446175 0.215531697523309
K10592 0.164072564762029 0.041527420220999 0.0887929117640088 0.0496726985533644
K20196 -0.215395826020239 -0.142486028960755 -0.020290153216581 0.0391725575378819
K26157 -0.0974075150007163 -0.194039049695185 -0.186333802884209 -0.0184538163640366
K04613 -0.345793150533919 -0.0724887566626185 -0.00924045000854641 0.0615101621164679
K03648 0.00866129970656062 0.140986792236288 0.22142985736723 0.232861203680127
K07566 0.433756691304442 0.280682385453728 0.0201351436832653 -0.0745790495408127
K02726 0.300405143138134 0.493620937506358 0.386371316842417 0.0287352749077236
K01899 0.728041007735098 1.0965192683444 0.814592846862847 0.701527790828436
K10580 0.140603655264195 -0.0454345255152276 -0.0837007911555505 -0.00383931375351348
K08582 -0.32783601696987 -0.249667046349455 -0.103531290119803 -0.162137398936421
K15171 0.16287602452338 0.148821816789524 0.397172318978509 0.276813722819334
K02920 0.8727470632748 0.614871563325395 0.174309377019133 0.30140240322037
K14574 0.0978346219765965 0.0446427781890706 -0.00200518945566048 0.0612449146249518
K20069 -0.0589957057031696 -0.0250646851488124 -0.0157603465422222 0.115553259895927
K18533 0.256865114622979 0.196305266000092 0.0142945972262868 -0.108238906712173
K23047 0.117515770879916 0.153220692158234 0.0490741553770582 0.111732138772762
K05646 -0.590395064259818 -1.35326793585324 -1.00087497501777 -0.0407783001320423
K16466 0.0242406007003673 -0.164388520193961 0.0678968261945368 0.378865971806014
K07304 -0.741930186062194 -0.406153622114575 -0.0185210207703831 0.411570225034094
K15333 1.2115350172018 0.844654287906269 0.339310523167497 0.49236739102245
K05733 -0.325344868520057 -0.355079572486994 -0.309262792925904 -0.214227680456557
K19754 -0.0987922028931377 -0.0986687142654085 -0.17134826972066 -0.0572324371968824
K10686 -0.151760887006096 -0.0870108962425121 -0.131803854894724 -0.130280759432079
K19477 -0.197397840370839 -0.375850191435986 -0.427377931739263 -0.296902917327393
K14376 -0.246393256305179 -0.291513324038439 -0.240392281053504 -0.261833752415971
K06252 -0.193527383234915 -0.366953552812614 -0.488836646585728 -0.0500113677231357
K03243 -0.43242716255845 -0.3709875392154 -0.140011886446028 -0.111779271677789
K09538 -0.256346074817939 -0.238448953164365 0.0513204582348457 -0.0536932100362367
K23010 -0.264378700983722 -0.00145599926187117 0.0529375177673762 -0.00513338209341
K10685 1.0997178642715 1.38614631960897 0.921998007719587 0.748633655004591
K02977 -0.00572589487080985 0.165515940914306 0.179352206465347 -0.0209580112111281
K19953 -0.186076114414613 -0.48481614800487 -0.319807273924882 -0.451699050897563
K25639 0.3182135228452 0.48893803755947 0.263985122694165 0.250025518634658
K26598 -0.411824680987986 -0.169428245198 -0.0625357223331096 -0.0348721955301471
K11883 0.155329280304432 0.242710175682635 0.469730698668862 0.393941499881683
K02219 0.310526176894941 0.0910007272549559 -0.0424121398926608 0.100497507611621
K03265 -0.783629639358071 -0.612566815788045 0.275224660367601 0.210305339457735
K04908 -0.390715235065318 -0.559281775661921 -0.231308263065883 -0.167380326706715
K03152 0.731453130584238 0.296285320588735 0.170549597390196 0.323705384444289
K03665 -0.493514503681961 -0.645959010167386 -0.463188549893704 -0.437428207085501
K01365 -0.0611564728248374 -0.120941927601707 -0.181002523381828 -0.116621414856033
K03125 -0.218221245696476 -0.260497521709159 -0.251317711522954 -0.214636425124754
K08863 0.359321856859382 0.0744255133600716 -0.398041203595918 -0.353121707884006
K08150 -0.489907897602531 -0.687808471885794 0.0177953381828407 -0.03154611280911
