Sample,Organism,TreatNum,Treatment,ShortTreat,Rep,File,DATE,TIME,PAR,Fo(or_F),Fm,FmDec,Fv,FvDEC,Fv/Fm,FvD/FmD,Sigma,p,Alp1,Tau1,Alp2,Tau2,Alp3,Tau3,Alp4,Tau4,TauAv1,TauAv2,TauAv3,Fm(PAM),Fv/Fm(PAM),GAIN,MTF:Alp1,Tau1,Alp2,Tau2,Alp3,Tau3,Alp4,Tau4,TauAv1,TauAv2,TauAv3,Fo-prime,qp-coeff,FvFm-dark,Sigma-dark,ETR
37,M chamaeleon NRMC1802 (fed SM),1,"10uE, light, starved",starved,A,hm032121.001,3/21/21,57992,0,27205,34927,36385,7722,9180,0.221,0.252,136.2,0.38,0.36,222,0.47,1681,0.16,26564,--------,-------,1049,5247,0,27758,0.02,800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,27664,1,0.221,136.2,0
37,M chamaeleon NRMC1802 (fed SM),1,"10uE, light, starved",starved,A,hm032121.002,3/21/21,58029,5,26389,32617,33857,6228,7467,0.191,0.221,126.8,0.42,0.28,222,0.51,1693,0.21,24323,--------,-------,1169,6090,0,26948,0.02,800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,26184.7,0.97,0.221,136.2,7.227945415
37,M chamaeleon NRMC1802 (fed SM),1,"10uE, light, starved",starved,A,hm032121.003,3/21/21,58066,10,25326,30836,31843,5510,6517,0.179,0.205,119.6,0.4,0.25,326,0.48,2054,0.27,23059,--------,-------,1464,7344,0,25833,0.02,800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,24824.4,0.92,0.221,136.2,13.54766732
37,M chamaeleon NRMC1802 (fed SM),1,"10uE, light, starved",starved,A,hm032121.004,3/21/21,58103,15,24583,29589,30525,5006,5942,0.169,0.195,115.7,0.4,0.24,446,0.45,2387,0.31,21398,--------,-------,1722,7787,0,25026,0.02,800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,23874.8,0.88,0.221,136.2,19.1862216
37,M chamaeleon NRMC1802 (fed SM),1,"10uE, light, starved",starved,A,hm032121.005,3/21/21,58140,20,23903,28614,29473,4711,5570,0.165,0.189,112.9,0.38,0.23,426,0.48,2363,0.29,22792,--------,-------,1745,7841,0,24305,0.02,800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,23171.4,0.87,0.221,136.2,24.97614646
37,M chamaeleon NRMC1802 (fed SM),1,"10uE, light, starved",starved,A,hm032121.006,3/21/21,58177,31.8,24040,28117,28810,4077,4770,0.145,0.166,101.7,0.37,0.31,925,0.29,2871,0.4,18979,--------,-------,1868,8758,0,24405,0.01,800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,22833.8,0.77,0.221,136.2,34.89848828
37,M chamaeleon NRMC1802 (fed SM),1,"10uE, light, starved",starved,A,hm032121.007,3/21/21,58214,43.5,23734,27122,27706,3388,3972,0.125,0.143,104.6,0.41,0.33,1243,0.21,2907,0.47,17978,--------,-------,1885,9403,0,24064,0.01,800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,22274.6,0.7,0.221,136.2,41.15387769
37,M chamaeleon NRMC1802 (fed SM),1,"10uE, light, starved",starved,A,hm032121.008,3/21/21,58251,55.3,23451,26418,26953,2967,3502,0.112,0.13,104,0.44,0.32,1315,0.22,4219,0.46,20431,--------,-------,2488,10728,0,23769,0.01,800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,21756.5,0.64,0.221,136.2,46.87644264
37,M chamaeleon NRMC1802 (fed SM),1,"10uE, light, starved",starved,A,hm032121.009,3/21/21,58288,67.1,22962,25567,26037,2605,3075,0.102,0.118,104.7,0.47,0.32,1362,0.19,5162,0.49,19458,--------,-------,2789,10946,0,23219,0.01,800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,21080.7,0.58,0.221,136.2,51.80052776
37,M chamaeleon NRMC1802 (fed SM),1,"10uE, light, starved",starved,A,hm032121.010,3/21/21,58325,78.8,22270,24697,25110,2426,2840,0.098,0.113,98,0.42,0.26,1172,0.26,3839,0.49,20311,--------,-------,2504,11199,0,22552,0.01,800,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,--------,20330.6,0.56,0.221,136.2,58.44721013
