Expt,Sample,Species,TreatNum,Light,Treatment,ShortTreat,Feeding,Rep,Day,CellCount,ChlpCell,Fv.Fm,Pmax,Pmax.err,Pmax.p,a,a.err,a.p,Ek,P_I,P_I.C,CryptoCount
3,,M chamaeleon NRMC1802 (fed SM),,10,"10uE, light, starved",,starved,A,-8,18400.0,,,,,,,,,,,,0
3,,M chamaeleon NRMC1802 (fed SM),,10,"10uE, light, starved",,starved,B,-8,14785.7,,,,,,,,,,,,0
3,,M chamaeleon NRMC1802 (fed SM),,10,"10uE, light, starved",,starved,C,-8,17416.7,,,,,,,,,,,,0
3,,M chamaeleon NRMC1802 (fed SM),,10,"10uE, light, starved",,starved,D,-8,15666.7,,,,,,,,,,,,0
3,,M chamaeleon NRMC1802 (fed SM),,10,"10uE, light, starved",,starved,E,-8,17083.3,,,,,,,,,,,,0
3,,M chamaeleon NRMC1802 (fed SM),,10,"10uE, light, starved",,starved,F,-8,14833.3,,,,,,,,,,,,0
3,,M chamaeleon NRMC1802 (fed SM),,10,"10uE, light, starved",,starved,A,-7,19800.0,,,,,,,,,,,,0
3,,M chamaeleon NRMC1802 (fed SM),,10,"10uE, light, starved",,starved,B,-7,21500.0,,,,,,,,,,,,0
3,,M chamaeleon NRMC1802 (fed SM),,10,"10uE, light, starved",,starved,C,-7,22000.0,,,,,,,,,,,,0
3,,M chamaeleon NRMC1802 (fed SM),,10,"10uE, light, starved",,starved,D,-7,23600.0,,,,,,,,,,,,0
3,,M chamaeleon NRMC1802 (fed SM),,10,"10uE, light, starved",,starved,E,-7,20083.3,,,,,,,,,,,,0
3,,M chamaeleon NRMC1802 (fed SM),,10,"10uE, light, starved",,starved,F,-7,20083.3,,,,,,,,,,,,0
3,,M chamaeleon NRMC1802 (fed SM),,10,"10uE, light, starved",,starved,A,-6,20500.0,,,,,,,,,,,,0
3,,M chamaeleon NRMC1802 (fed SM),,10,"10uE, light, starved",,starved,B,-6,25500.0,,,,,,,,,,,,0
3,,M chamaeleon NRMC1802 (fed SM),,10,"10uE, light, starved",,starved,C,-6,20800.0,,,,,,,,,,,,0
3,,M chamaeleon NRMC1802 (fed SM),,10,"10uE, light, starved",,starved,D,-6,22900.0,,,,,,,,,,,,0
3,,M chamaeleon NRMC1802 (fed SM),,10,"10uE, light, starved",,starved,E,-6,20500.0,,,,,,,,,,,,0
3,,M chamaeleon NRMC1802 (fed SM),,10,"10uE, light, starved",,starved,F,-6,19400.0,,,,,,,,,,,,0
3,,M chamaeleon NRMC1802 (fed SM),,10,"10uE, light, starved",,starved,A,-4,22875.0,,,,,,,,,,,,0
3,,M chamaeleon NRMC1802 (fed SM),,10,"10uE, light, starved",,starved,B,-4,23600.0,,,,,,,,,,,,0
3,,M chamaeleon NRMC1802 (fed SM),,10,"10uE, light, starved",,starved,C,-4,22300.0,,,,,,,,,,,,0
3,,M chamaeleon NRMC1802 (fed SM),,10,"10uE, light, starved",,starved,D,-4,21500.0,,,,,,,,,,,,0
3,,M chamaeleon NRMC1802 (fed SM),,10,"10uE, light, starved",,starved,E,-4,22100.0,,,,,,,,,,,,0
3,,M chamaeleon NRMC1802 (fed SM),,10,"10uE, light, starved",,starved,F,-4,21000.0,,,,,,,,,,,,0
3,,M chamaeleon NRMC1802 (fed SM),,10,"10uE, light, starved",,starved,A,-2,23000.0,,,,,,,,,,,,0
