"","Expt","Sample","Species","TreatNum","Light","Treatment","ShortTreat","Feeding","Rep","Day","CellCount","ChlpCell","Fv.Fm","Pmax","Pmax.err","Pmax.p","a","a.err","a.p","Ek","P_I","P_I.C","CryptoCount","ShortTreat2","ChlpmL","logcells","ID","mu.3day.terminal","mu.3day.centered"
"79",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, 24h post-feeding","","fed","A",8.2,11500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101250,"",NA,9.35010231435134,"fed A",NA,NA
"85",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, 24h post-feeding","fed24","fed","A",9,10000,43.2346,0.448,63.00400613,0.537335857,2.07e-27,1.115406488,0.02661656,2.12e-19,56.48524266,11.0389764,0.190773162,49000,"fed24",432346,9.21034037197618,"fed A",NA,0.118594510730323
"91",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, 48h post-feeding","fed48","fed","A",10,14000,42.3633,0.467,40.61440877,0.483543641,8.32e-25,1.492863191,0.075285059,1.12e-13,27.20571384,14.29075864,0.246969747,12500,"fed48",593086.2,9.5468126085974,"fed A",0.118594510730323,0.350723818132916
"97",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, 96h post-feeding","","fed","A",11,20166.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1866.666667,"",NA,9.91178800824202,"fed A",0.350723818132916,0.224095786842948
"103",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, 96h post-feeding","fed96","fed","A",12,21916.7,21.0079,0.507,33.45475521,0.414006331,1.66e-24,1.390967328,0.07575974,4.19e-13,24.05143135,13.15995339,0.227427419,233.3333333,"fed96",460423.84193,9.99500418228329,"fed A",0.224095786842948,0.102396379877407
"109",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, 7d post-feeding","","fed","A",13,24750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,"",NA,10.1165807679968,"fed A",0.102396379877407,0.115283434710974
"115",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, 7d post-feeding","","fed","A",14,27600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,10.2255710517052,"fed A",0.115283434710974,0.083527042331581
"121",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, 7d post-feeding","fed168","fed","A",15,29250,14.318,0.447,39.82112237,0.230676764,1.97e-30,1.234819189,0.028438556,1.13e-19,32.24854515,11.96705736,0.206812053,0,"fed168",418801.5,10.28363485266,"fed A",0.083527042331581,NA
"80",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, 24h post-feeding","","fed","B",8.2,10250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107000,"",NA,9.23503298456655,"fed B",NA,NA
"86",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, 24h post-feeding","fed24","fed","B",9,10083.3,44.4767,0.453,64.13541991,0.657464757,5.66e-26,1.063875675,0.028782686,1.98e-18,60.28469435,10.54224011,0.182188674,47750,"fed24",448471.90911,9.21863586900029,"fed B",NA,0.0990306229664316
"92",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, 48h post-feeding","fed48","fed","B",10,12166.7,40.3869,0.507,38.72920497,0.230274803,3.16e-30,1.231991558,0.029429899,2.16e-19,31.43625839,11.92052227,0.206007843,14600,"fed48",491375.29623,9.40645799062475,"fed B",0.0990306229664316,0.305691368965189
"98",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, 96h post-feeding","","fed","B",11,18583.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2125,"",NA,9.83001860693067,"fed B",0.305691368965189,0.272909863040404
"104",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, 96h post-feeding","fed96","fed","B",12,21000,21.3367,0.51,42.41883513,0.174112682,4.01e-33,1.272521205,0.020472643,1.84e-22,33.33448194,12.3567404,0.213546469,400,"fed96",448070.7,9.95227771670556,"fed B",0.272909863040404,0.0805864996529178
"110",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, 7d post-feeding","","fed","B",13,21833.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,"",NA,9.99119160623651,"fed B",0.0805864996529178,0.0911607783969758
"116",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, 7d post-feeding","","fed","B",14,25200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,10.1345992734995,"fed B",0.0911607783969758,0.0403163347842694
"122",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, 7d post-feeding","fed168","fed","B",15,23666.7,11.5521,0.453,43.52698169,0.269387836,6.49e-30,1.245146991,0.029558171,1.93e-19,34.95730383,12.12258735,0.209499888,0,"fed168",273400.08507,10.0718242758051,"fed B",0.0403163347842694,NA
"81",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, 24h post-feeding","","fed","C",8.2,12250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94666.66667,"",NA,9.41328121597287,"fed C",NA,NA
"87",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, 24h post-feeding","fed24","fed","C",9,8583.3,47.3427,0.452,70.40147481,0.880297251,2.01e-24,1.024901232,0.02969353,6.69e-18,68.69098466,10.17721711,0.175880427,41250,"fed24",406356.59691,9.05757373392109,"fed C",NA,0.0375320560099804
"93",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, 48h post-feeding","fed48","fed","C",10,12750,33.0017,0.509,46.89712969,0.268171158,1.56e-30,1.158799492,0.023541687,1.2e-20,40.47044377,11.35777911,0.19628264,13200,"fed48",420771.675,9.45328655058657,"fed C",0.0375320560099804,0.468715224181104
"99",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, 96h post-feeding","","fed","C",11,21916.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2162.5,"",NA,9.99500418228329,"fed C",0.468715224181104,0.276529945573766
"105",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, 96h post-feeding","fed96","fed","C",12,22166.7,18.8408,0.513,41.58541803,0.180086409,1.05e-32,1.211151567,0.020286229,3.79e-22,34.33543675,11.78030297,0.203584604,233.3333333,"fed96",417638.36136,10.0063464417341,"fed C",0.276529945573766,0.050583857041167
"111",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, 7d post-feeding","","fed","C",13,24250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5,"",NA,10.0961718963656,"fed C",0.050583857041167,0.136073505712739
"117",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, 7d post-feeding","","fed","C",14,29100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,10.2784934531596,"fed C",0.136073505712739,0.0704042293413554
"123",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, 7d post-feeding","fed168","fed","C",15,27916.7,13.7761,0.469,47.99420776,0.413542043,2.49e-27,1.206029198,0.037275621,2.11e-17,39.79522872,11.81269541,0.204144403,0,"fed168",384583.25087,10.2369803550483,"fed C",0.0704042293413554,NA
"82",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, 24h post-feeding","","fed","D",8.2,10833.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109666.6667,"",NA,9.29038000272191,"fed D",NA,NA
"88",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, 24h post-feeding","fed24","fed","D",9,9666.7,47.336,0.463,66.89441157,0.707044626,9.8e-26,1.035470446,0.027018687,1.04e-18,64.60291729,10.2727882,0.177532066,46250,"fed24",457582.9112,9.17644226857042,"fed D",NA,0.10928207402689
"94",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, 48h post-feeding","fed48","fed","D",10,13000,37.366,0.477,52.07315315,0.259399131,1.31e-31,1.225587819,0.021069654,6.05e-22,42.48830834,12.03448261,0.207977281,23500,"fed48",485758,9.47270463644367,"fed D",0.10928207402689,0.259702959593731
"100",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, 96h post-feeding","","fed","D",11,16250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3783.333333,"",NA,9.69584818775788,"fed D",0.259702959593731,0.21746963324435
