"","Expt","Sample","Species","TreatNum","Light","Treatment","ShortTreat","Feeding","Rep","Day","CellCount","ChlpCell","Fv.Fm","Pmax","Pmax.err","Pmax.p","a","a.err","a.p","Ek","P_I","P_I.C","CryptoCount","ShortTreat2","ChlpmL","logcells","ID","mu.3day.terminal","mu.3day.centered","Crypto.to.MC","P_I.cell","mu","TreatmentDays"
"73",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","starved","starved","A",8,17600,10.6023,0.221,62.51360432,0.61660667,2.83e-26,1.212668293,0.036080644,1.07e-17,51.5504567,11.97682884,0.206980921,0,"starved",186600.48,9.77565418102624,"starved A",NA,NA,0,2.1944738187183,0.0476550899021613,0
"74",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","starved","starved","B",8,15000,12.2324,0.257,60.17736626,0.569914446,1.36e-26,1.082803238,0.029094885,1.76e-18,55.57553226,10.7126675,0.185133963,0,"starved",183486,9.61580548008435,"starved B",NA,NA,0,2.2646326890012,-0.0551740285844344,0
"75",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","starved","starved","C",8,14583.3,9.9802,0.247,65.0166539,0.876592195,7.75e-24,1.038111102,0.035624744,1.34e-16,62.62976458,10.29378267,0.177894888,0,"starved",145544.25066,9.58763231740075,"starved C",NA,NA,0,1.7754265612176,-0.0935362747665301,0
"76",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","starved","starved","D",8,13833.3,10.9182,0.246,72.04905736,1.139209804,1.35e-22,1.12608866,0.04438093,1.53e-15,63.98169159,11.17008001,0.193038865,0,"starved",151034.73606,9.53483400790922,"starved D",NA,NA,0,2.107636935843,-0.0696201901495533,0
"77",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","starved","starved","E",8,13916.7,12.4161,0.245,72.04785827,1.081922591,5.36e-23,1.08281699,0.038956093,3.08e-16,66.53742868,10.74737277,0.185733732,0,"starved",172791.13887,9.5408448368176,"starved E",NA,NA,0,2.3060885898852,-0.0666147756953624,0
"78",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","starved","starved","F",8,12000,12.0743,0.253,72.6291399,1.577579411,3.96e-20,0.984213719,0.045761575,2.74e-14,73.79407391,9.782330872,0.16905609,0,"starved",144891.6,9.39266192877014,"starved F",NA,NA,0,2.041233947487,-0.0980574394631474,0
"85",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, 24h post-feeding","fed24","fed","A",9,10000,43.2346,0.448,63.00400613,0.537335857,2.07e-27,1.115406488,0.02661656,2.12e-19,56.48524266,11.0389764,0.190773162,49000,"fed24",432346,9.21034037197618,"fed A",NA,NA,4.9,8.2480013498052,0.118594510730323,1
"86",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, 24h post-feeding","fed24","fed","B",9,10083.3,44.4767,0.453,64.13541991,0.657464757,5.66e-26,1.063875675,0.028782686,1.98e-18,60.28469435,10.54224011,0.182188674,47750,"fed24",448471.90911,9.21863586900029,"fed B",NA,NA,4.73555284480279,8.1031509968958,0.0990306229664316,1
"87",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, 24h post-feeding","fed24","fed","C",9,8583.3,47.3427,0.452,70.40147481,0.880297251,2.01e-24,1.024901232,0.02969353,6.69e-18,68.69098466,10.17721711,0.175880427,41250,"fed24",406356.59691,9.05757373392109,"fed C",NA,NA,4.80584390618993,8.3266542913329,0.0375320560099804,1
"88",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, 24h post-feeding","fed24","fed","D",9,9666.7,47.336,0.463,66.89441157,0.707044626,9.8e-26,1.035470446,0.027018687,1.04e-18,64.60291729,10.2727882,0.177532066,46250,"fed24",457582.9112,9.17644226857042,"fed D",NA,NA,4.78446626046117,8.403657876176,0.10928207402689,1
"89",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, 24h post-feeding","fed24","fed","E",9,8166.7,56.8178,0.462,74.47712999,0.76621063,6.03e-26,1.044694233,0.023917629,1.01e-19,71.29084055,10.37895999,0.179366903,55750,"fed24",464013.92726,9.00782018948903,"fed E",NA,NA,6.82650274896837,10.1912328212734,-0.0455403627393049,1
"90",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, 24h post-feeding","fed24","fed","F",9,8916.7,61.8,0.456,71.72928593,0.686441401,1.64e-26,1.061391347,0.023944191,7.79e-20,67.58043216,10.53711976,0.182100186,66000,"fed24",551052.06,9.09568120196681,"fed F",NA,NA,7.40184148844303,11.2537914948,-0.0272938138134787,1
"91",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, 48h post-feeding","fed48","fed","A",10,14000,42.3633,0.467,40.61440877,0.483543641,8.32e-25,1.492863191,0.075285059,1.12e-13,27.20571384,14.29075864,0.246969747,12500,"fed48",593086.2,9.5468126085974,"fed A",NA,NA,0.892857142857143,10.4624534830851,0.350723818132916,2
"92",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, 48h post-feeding","fed48","fed","B",10,12166.7,40.3869,0.507,38.72920497,0.230274803,3.16e-30,1.231991558,0.029429899,2.16e-19,31.43625839,11.92052227,0.206007843,14600,"fed48",491375.29623,9.40645799062475,"fed B",NA,NA,1.19999671233777,8.3200181544567,0.305691368965189,2
"93",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, 48h post-feeding","fed48","fed","C",10,12750,33.0017,0.509,46.89712969,0.268171158,1.56e-30,1.158799492,0.023541687,1.2e-20,40.47044377,11.35777911,0.19628264,13200,"fed48",420771.675,9.45328655058657,"fed C",NA,NA,1.03529411764706,6.477660800488,0.468715224181104,2
"94",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, 48h post-feeding","fed48","fed","D",10,13000,37.366,0.477,52.07315315,0.259399131,1.31e-31,1.225587819,0.021069654,6.05e-22,42.48830834,12.03448261,0.207977281,23500,"fed48",485758,9.47270463644367,"fed D",NA,NA,1.80769230769231,7.771279081846,0.259702959593731,2
"95",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, 48h post-feeding","fed48","fed","E",10,10714.3,48.3191,0.504,50.80603967,0.267499959,3.54e-31,1.148603922,0.020346694,1.03e-21,44.23286279,11.29427313,0.195185144,17700,"fed48",517705.33313,9.27933457679558,"fed E",NA,NA,1.65199779733627,9.4311704914504,0.366574216774662,2
